% Model:              0.5mm Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 29 2024, 12:00
% Dimension:          1
% Nodes:              11692
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0.16452277551689676       9.523631879252692E-8
0.1645689673122792        9.524895659685031E-8
0.16974957410376845       9.669135078107375E-8
0.16982066566770726       9.671134469872189E-8
0.17179537422753555       9.726600098370593E-8
0.1718339076819433        9.72768242632036E-8
0.17720399934417586       9.881170579445326E-8
0.17730492306233003       9.884123721035845E-8
0.17969292465734554       9.952451615489226E-8
0.1803006835930283        9.970456714603998E-8
0.18464539005890046       1.0099170363963562E-7
0.18552978530730968       1.0125653131328744E-7
0.18689845736643917       1.0166626779795015E-7
0.18761565657542434       1.0188439690205296E-7
0.19210126357993929       1.0324865027126188E-7
0.1928873926896344        1.034904444550449E-7
0.19410399007552748       1.0386454663997652E-7
0.19493486021336714       1.0412409802597696E-7
0.1995571371009781        1.0556802809160327E-7
0.2002450000719591        1.0578542687366938E-7
0.20130952278461933       1.0612178609641896E-7
0.2022603431701544        1.0642699243707985E-7
0.20701301062201694       1.079525636842118E-7
0.2076026074542856        1.081441064583687E-7
0.2085150554937094        1.0844046173012378E-7
0.20959573144691923       1.0879704936100122E-7
0.21446888414305576       1.1040502996764008E-7
0.2149602148366121        1.1056915578959425E-7
0.21572058820280127       1.1082309125133572E-7
0.2169481082950533        1.1123960469561173E-7
0.2219247576640928        1.1292824619544136E-7
0.22231782221893504       1.1306329213904087E-7
0.22292612091188957       1.1327223451769797E-7
0.22433342421228097       1.1376343119599115E-7
0.2293806311851352        1.1552507795616941E-7
0.2296754296012633        1.1562927746964684E-7
0.2301316536209832        1.1579049353425226E-7
0.23179669344673925       1.1638846685332866E-7
0.23683650470617224       1.1819843717337869E-7
0.23703303698358802       1.1826991843559406E-7
0.23733718633007328       1.1838051245343893E-7
0.23953357493728156       1.1919233896510413E-7
0.24429237822721106       1.2095128210562406E-7
0.24439064436591096       1.2098806638230768E-7
0.24454271903916158       1.2104497757509655E-7
0.25174825174825344       1.2378661734646166E-7
0.25680029215265776       1.2565075867181737E-7
0.2589421938010261        1.2652110366955845E-7
0.2615753669156824        1.2757437250279024E-7
0.2618523325570674        1.276786256495832E-7
0.2621453628613786        1.278001692242769E-7
0.2661045222301581        1.293879197576463E-7
0.266136135853813         1.2940059783982105E-7
0.26690437296147884       1.2970357115168257E-7
0.26871639122619584       1.304903063147343E-7
0.27140248208310425       1.316104544047913E-7
0.2715698582816586        1.3167609054973532E-7
0.2719564133658867        1.3182767712988327E-7
0.2721537280974893        1.3191290663397875E-7
0.27254247397452147       1.3208082424484213E-7
0.27333007790659813       1.324100273744276E-7
0.27700845377029637       1.339245667690303E-7
0.2777138110998685        1.3424414484293454E-7
0.27859635249307857       1.3464400015989E-7
0.28052401995938325       1.354927689040351E-7
0.2812295972505261        1.3579792309232264E-7
