% Model:              0.5mm Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 29 2024, 11:58
% Dimension:          1
% Nodes:              11692
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0.08825116640684527       3.031280701982507E-8
0.08838096063727008       3.032222340303568E-8
0.08920951940753241       3.038233414037627E-8
0.09003025780030782       3.04423659864046E-8
0.09205388514611634       3.0606393614290587E-8
0.0923279336138112        3.0632089967112445E-8
0.09314965696410837       3.071000303296189E-8
0.09317811353803407       3.071270119033716E-8
0.094649612678122         3.084059176339768E-8
0.09489759834377942       3.0864176743032E-8
0.0954463478200882        3.091636623224605E-8
0.0954812681521151        3.091970978389865E-8
0.09594661859948772       3.0954386449741233E-8
0.09617749438290346       3.097159069320511E-8
0.09619393750043592       3.0973030580174786E-8
0.09710167652991508       3.1052519253646923E-8
0.09856476202636522       3.116192757120446E-8
0.09926896755593795       3.121474508640309E-8
0.10030110361969058       3.130088690003919E-8
0.101683176232644         3.143511456937122E-8
0.10205706333983322       3.1471686955294695E-8
0.10271136989738494       3.153568903366254E-8
0.10621794515933303       3.1848563263587434E-8
0.10644944435496484       3.186848631661912E-8
0.11011417218050212       3.2194009537191296E-8
0.11023696670004668       3.220501691307279E-8
0.11357751719163645       3.2504410308025466E-8
0.11371438472463069       3.251667691961076E-8
0.11756859742090953       3.286812167334887E-8
0.11768492907100203       3.287882619612843E-8
0.12086065542738211       3.317097618965278E-8
0.12097932509429477       3.318189317006269E-8
0.1250230226613187        3.356044469851998E-8
0.12513289144196094       3.357082415243296E-8
0.12814166299030383       3.385495996731356E-8
0.12824426546395884       3.3864649316269585E-8
0.1324774479017261        3.427153000561332E-8
0.13258085381291806       3.428156058071122E-8
0.13542080795762423       3.45568840039951E-8
0.13550920583362291       3.456545386272899E-8
0.1399318731421335        3.500192255922973E-8
0.1400288161838752        3.501157887472716E-8
0.1426983152447896        3.5277262446342916E-8
0.142774146203287         3.528480957014134E-8
0.1473862983825427        3.575216089566217E-8
0.14747677855483232       3.5761416023283876E-8
0.14997437495592614       3.60166017073116E-8
0.15003908657295284       3.602321345540991E-8
0.15484072362295365       3.6522777122895746E-8
0.154924740925793         3.65316026102236E-8
0.15724914886785513       3.67754008409364E-8
0.15730402694261514       3.678115679164086E-8
0.16229514886335927       3.7314296920607686E-8
0.16237270329674836       3.7322662814427725E-8
0.16452277551689676       3.7554151836346454E-8
0.1645689673122792        3.75591251081432E-8
0.16974957410376845       3.8127239540167364E-8
0.16982066566770726       3.813511440981673E-8
0.17179537422753555       3.835333985061867E-8
0.1718339076819433        3.8357598190428825E-8
0.17720399934417586       3.896211780463623E-8
0.17730492306233003       3.897376529968493E-8
0.17969292465734554       3.9242952838433783E-8
0.1803006835930283        3.93136411076797E-8
0.18464539005890046       3.981897268311583E-8
0.18552978530730968       3.9923094662349936E-8
0.18689845736643917       4.0084306226529395E-8
0.18761565657542434       4.0170015232059284E-8
0.19210126357993929       4.070606841050446E-8
0.1928873926896344        4.0801196696943466E-8
0.19410399007552748       4.094840247282905E-8
0.19493486021336714       4.105049024884378E-8
0.1995571371009781        4.161842252380502E-8
0.2002450000719591        4.170401960253648E-8
0.20130952278461933       4.183642073213414E-8
0.2022603431701544        4.1956591546076624E-8
0.20701301062201694       4.2557264317481435E-8
0.2076026074542856        4.263273924702117E-8
0.2085150554937094        4.2749448522293596E-8
0.20959573144691923       4.288998574235086E-8
0.21446888414305576       4.3523718112166805E-8
0.2149602148366121        4.3588431759576314E-8
0.21572058820280127       4.3688481724203977E-8
0.2169481082950533        4.3852764206819585E-8
0.2219247576640928        4.451880325466339E-8
0.22231782221893504       4.4572073530667264E-8
0.22292612091188957       4.465442458180938E-8
0.22433342421228097       4.4848258970681025E-8
0.2293806311851352        4.5543434117942614E-8
0.2296754296012633        4.5584541212045914E-8
0.2301316536209832        4.564808970210147E-8
